Date,Open,High,Low,Close,Adj Close,Volume
24-11-2017,55300000000,55500000000,55180000000,55460000000,48313804688,4536200
27-11-2017,55360000000,55360000000,52640000000,52640000000,45857175781,18128900
28-11-2017,52700000000,53280000000,51720000000,53280000000,46414703125,13499400
29-11-2017,53200000000,53240000000,52500000000,52600000000,45822324219,9590250
30-11-2017,50800000000,51860000000,50200000000,50800000000,44254273438,29634150
01-12-2017,50800000000,51780000000,50800000000,50840000000,44289097656,12868600
04-12-2017,50840000000,51340000000,50020000000,51340000000,44724679688,14865050
05-12-2017,50600000000,51300000000,50280000000,51260000000,44654992188,9326550
06-12-2017,51260000000,51560000000,50020000000,50020000000,43574769531,10889200
07-12-2017,50040000000,50980000000,50020000000,50740000000,44201992188,11065600
08-12-2017,51360000000,52000000000,51040000000,52000000000,45299644531,11290450
11-12-2017,52000000000,52040000000,51500000000,51780000000,45107992188,8125850
12-12-2017,51820000000,52100000000,51660000000,52100000000,45386742188,8765050
13-12-2017,52100000000,52100000000,51100000000,51320000000,44707253906,11333700
